館別,圖書資料（冊）,非書資料（件）,期刊（種）,報紙（種）,電子書（件）,電子期刊（種）
臺南市立圖書館（含WEB）,"740,745","29,730",525,19,2244,20
臺南市南區鹽埕圖書館（含行動2）,"71,208","1,496",64,10,0,0
臺南市文化中心藝文沙龍,"16,140","2,778",55,0,0,0
臺南市新營文化中心圖書館,"169,536","12,324",314,16,0,0
臺南市蕭?兒童圖書館,"35,606","1,000",0,0,0,0
臺南市新營區圖書館,"90,562","2,260",145,7,0,0
臺南市鹽水區圖書館,"57,962","2,412",60,8,0,0
臺南市白河區圖書館,"56,558","1,499",63,6,0,0
臺南市柳營區圖書館,"60,690","1,880",87,5,0,0
臺南市後壁區圖書館,"46,931",940,54,6,0,0
臺南市東山區圖書館,"51,277",761,62,6,0,0
臺南市麻豆區圖書館,"80,137","3,585",70,7,0,0
臺南市下營區圖書館,"53,374",792,74,9,0,0
臺南市六甲區圖書館,"54,885","1,742",106,7,0,0
臺南市官田區圖書館,"52,392","1,877",72,9,0,0
臺南市大內區圖書館,"45,548",720,72,5,0,0
臺南市佳里區圖書館,"69,341","3,938",106,11,0,0
臺南市學甲區圖書館,"69,656","1,609",66,7,0,0
臺南市西港區圖書館,"52,767","1,909",94,6,0,0
臺南市七股區圖書館,"47,116","1,991",84,7,0,0
臺南市將軍區圖書館,"51,863","1,112",117,7,0,0
臺南市北門區圖書館,"45,935","1,853",75,5,0,0
臺南市新化區圖書館,"69,431","1,199",58,6,0,0
臺南市善化區圖書館,"98,283","3,103",101,11,0,0
臺南市新市區圖書館,"102,431","3,177",99,10,0,0
臺南市安定區圖書館,"66,082","1,678",86,8,0,0
臺南市山上區圖書館,"75,411","2,339",77,6,0,0
臺南市玉井區圖書館,"52,230","2,137",89,7,0,0
臺南市楠西區圖書館,"52,746","1,092",103,3,0,0
臺南市南化區圖書館,"55,238","2,128",84,4,0,0
臺南市左鎮區圖書館,"50,248","2,174",75,5,0,0
臺南市仁德區圖書館（含仁德二館）,"78,138","1,328",164,9,0,0
臺南市歸仁區圖書館,"98,849","3,711",106,7,0,0
臺南市關廟區圖書館,"67,787",902,138,8,0,0
臺南市龍崎區圖書館,"53,066",847,48,5,0,0
臺南市永康區圖書館,"158,065","2,202",231,14,0,0
臺南市東區林森圖書館,"142,001","2,245",192,7,0,0
臺南市東區裕文圖書館,"94,132","2,946",132,9,0,0
臺南市南區喜樹圖書館,"235,336","3,000",134,9,0,0
臺南市安南區土城圖書館,"71,199",679,75,8,0,0
臺南市安南區安南圖書館（含行動）,"118,121","1,858",201,8,0,0
臺南市安平區圖書館,"125,320","1,739",134,9,0,0
臺南市中西區圖書館,"47,887","30,338",188,9,0,0
臺南市台江文化中心圖書館,"23,019",559,75,4,0,0
