項次,熱點類別,熱點名稱,郵遞區號,縣市名稱,鄉鎮市區,地址,熱點類別_英語,熱點名稱_英語,縣市名稱_英語,鄉鎮市區_英語,地址_英語
1,洽公場所,臺灣大道市政大樓,407,臺中市,西屯區,臺中市西屯區臺灣大道三段99號,Government Offices,Taichung City Hall,Taichung City,Xitun District,"No. 99, Sec. 3, Taiwan Boulevard, Xitun Dist., Taichung City 40701, Taiwan (R.O.C.) "
2,洽公場所,陽明大樓,420,臺中市,豐原區,臺中市豐原區陽明街36號,Government Offices,Yangming Municipal Building of Taichung City Government,Taichung City,Fengyuan District,"No.36, Yangming St., Fengyuan Dist., Taichung City 42007, Taiwan (R.O.C.)"
3,洽公場所,臺中州廳,403,臺中市,西區,臺中市西區民權路99號,Government Offices,Environmental Protection Bureau of Taichung City Government,Taichung City,West Dist,"No.99, Minquan Rd., West Dist., Taichung City 40301, Taiwan (R.O.C.) "
4,洽公場所,原臺中市議會,403,臺中市,西區,臺中市西區民權路101號,Government Offices,Transportation Bureau of  Taichung City Government,Taichung City,West Dist,"No.101, Minquan Rd., West District, Taichung City, Taiwan (R.O.C.)"
5,洽公場所,衛生局大樓,420,臺中市,豐原區,臺中市豐原區中興路136號,Government Offices,"Health Bureau of Taichung City Government,Taichung City",Taichung City,Fengyuan District,"No.136, Zhongxing Rd., Fengyuan Dist., Taichung City 42053, Taiwan (R.O.C.) "
6,洽公場所,地方稅務局_文心分局,407,臺中市,西屯區,臺中市西屯區文心路二段99號1樓,Government Offices,"Wenxin Branch,Local Tax Burean,Taichung City Govenment",Taichung City,Xitun District,"1F.No.99, Sec. 2, Wenxin Rd., Xitun Dist., Taichung City 40758, Taiwan (R.O.C.) "
7,洽公場所,地方稅務局_民權分局,403,臺中市,西區,臺中市西區民權路99-1號,Government Offices,"Minquan Branch Local tax Bureau, Taichung City Government",Taichung City,West Dist,"No.2-107, Wuquan Rd., West Dist., Taichung City 403, Taiwan(R.O.C)"
8,洽公場所,地方稅務局_東山分局,406,臺中市,北屯區,臺中市北屯區北平路3段38號,Government Offices,"Dongshan Branch , Local Tax Bureau , Taichung City Government",Taichung City,Beitun District,"No.38, Sec. 3, Beiping Rd., Beitun Dist., Taichung City, Taiwan (R.O.C.) "
9,洽公場所,地方稅務局_大智分局,401,臺中市,東區,臺中市東區建中街141號,Government Offices,"Dazhi Branch  Local tax Bureau, Taichung City Government",Taichung City,East District,"No.141, Jianzhong St., East Dist., Taichung City 401, Taiwan(R.O.C)"
10,洽公場所,地方稅務局_豐原分局,420,臺中市,豐原區,臺中市豐原區中山路219號,Government Offices,"Fengyuan Branch,Local Tax Burean,Taichung City Govenment",Taichung City,Fengyuan District,"No.219,Jhongshan Rd., Fongyuan City,Taichung City,Taiean(R.O.C)"
11,洽公場所,地方稅務局_大屯分局,412,臺中市,大里區,臺中市大里區中興路2段633號,Government Offices,"Daturn Branch,Local Tax Bureau,Taichung City Government",Taichung City,Dali District,"No.633, Sec. 2, Zhongxing Rd., Dali Dist., Taichung City 412, Taiwan (R.O.C.)"
12,洽公場所,地方稅務局_沙鹿分局,433,臺中市,沙鹿區,臺中市沙鹿區中山路625號,Government Offices,"Sahlu Branch  Local tax Bureau, Taichung City Government",Taichung City,Shalu District,"No.625, Zhongshan Rd., Shalu Dist., Taichung City 433, Taiwan(R.O.C)"
13,洽公場所,地方稅務局_東勢分局,423,臺中市,東勢區,臺中市東勢區東蘭路25-2號,Government Offices,"Dongshih Branch,Local Tax Bureau,Taichung City Government",Taichung City,Dongshi Dist,"No.25-2,Donglan Rd.,Dongshih District,Taichung City,Taiwan(R.O.C)"
14,洽公場所,中區區公所,400,臺中市,中區,臺中市中區成功路300號3樓,Government Offices,"Central District Office,Taichung City",Taichung City,Central District,"3F.,Chenggong Rd.,Taichung City, Taiwan ( R.O.C.)"
15,洽公場所,東區區公所,401,臺中市,東區,臺中市東區長福路245號,Government Offices,"East District Office, Taichung City",Taichung City,East District,"No.245, Changfu Rd., East Dist., Taichung City 40149, Taiwan (R.O.C.)"
16,洽公場所,西區區公所,403,臺中市,西區,臺中市西區金山路11號,Government Offices," West District Office, Taichung City",Taichung City,West Dist,"No.11, Jinshan Rd., West Dist., Taichung City 40345, Taiwan (R.O.C.) "
17,洽公場所,南區區公所,402,臺中市,南區,臺中市南區工學路72號3樓,Government Offices,"South District Office, Taichung City",Taichung City,South District,"3F~5F, No. 72, Gong-syue Road, South District, Taichung City 40245, Taiwan (R.O.C.)"
18,洽公場所,北區區公所,404,臺中市,北區,臺中市北區永興街301號,Government Offices,"North District Office,Taichung City",Taichung City,North District,"No.301,Yungshing St., North District, Taichung, 40465, Taiwan(R.O.C.)"
19,洽公場所,西屯區公所,407,臺中市,西屯區,臺中市西屯區市政北二路386號,Government Offices,"Shitun District Office , Taichung City ",Taichung City,Xitun District,"No.386, Shihjheng N. 2nd Rd., Situn Dist., Taichung City 40755, Taiwan (R.O.C.) "
20,洽公場所,南屯區公所,408,臺中市,南屯區,臺中市南屯區永春東路679號,Government Offices,"Nantun District Office, Taichung City",Taichung City,Nantun District,"No.407, Sec. 2, Nantun Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
21,洽公場所,北屯區公所,406,臺中市,北屯區,臺中市北屯區崇德路3段10號,Government Offices,"Beitun District Office,Taichung City",Taichung City,Beitun District,"No.10, Sec. 3, Chongde Rd., Beitun Disrict., Taichung City 406, Taiwan (R.O.C.)"
22,洽公場所,豐原區公所,420,臺中市,豐原區,臺中市豐原區市政路2號,Government Offices,"Fengyuan District Office, Taichung City",Taichung City,Fengyuan District,"No.2, Shizheng Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
23,洽公場所,大里區公所,412,臺中市,大里區,臺中市大里區大新街36號,Government Offices,"Dali District Office,Taichung City",Taichung City,Dali District,"No.36, Dasin St ., Dali  District, Taichung City 412, Taiwan (R.O.C.)"
24,洽公場所,太平區公所,411,臺中市,太平區,臺中市太平區中平路144號,Government Offices,"Taiping District Office, Taichung City",Taichung City,Taiping District,"No.144, Zhongping Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
25,洽公場所,東勢區公所,423,臺中市,東勢區,臺中市東勢區豐勢路518號,Government Offices,"Tungshih District Household Registration Office,Taichung City",Taichung City,Dongshi Dist,"No.518, Fengshi Rd., Dongshi Dist., Taichung City 423, Taiwan (R.O.C.)"
26,洽公場所,大甲區公所,437,臺中市,大甲區,臺中市大甲區民權路52號,Government Offices,"Dajia District Office, Taichung City",Taichung City,Dajia District,"No.52, Minquan Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
27,洽公場所,清水區公所,436,臺中市,清水區,臺中市清水區區政路101號,Government Offices,"Qingshui District Office , Taichung City",Taichung City,Qingshui District,"No.101, Jhenjheng Rd., Qingshui District , Taichung City 436, Taiwan (R.O.C.)"
28,洽公場所,沙鹿區公所,433,臺中市,沙鹿區,臺中市沙鹿區北勢里區政路8號,Government Offices,"Shalu District Office, Taichung City",Taichung City,Shalu District,"No.8 Jen Jheng Road. Beishih Village. Shalu District, Taichung City 412, Taiwan (R.O.C)"
29,洽公場所,梧棲區公所,435,臺中市,梧棲區,臺中市梧棲區中和街66號,Government Offices,Wuchi District  Office Taichung City,Taichung City,Wuqi District,"No.66,  Zhonghe St., Wuqi Dist., Taichung City 435, Taiwan (R.O.C.)"
